Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users?skip=46&limit=50,1,1,3.1485420004173648,3.1485420004173648,3.1485420004173648,3.1485420004173648,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/users?skip=47&limit=10,2,2,2.090082999529841,3.0550829997082474,2.090082999529841,4.020082999886654,22.0,0.034303815732146074,0.034303815732146074,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=47&limit=50,2,2,4.055917000187037,4.283083500013163,4.055917000187037,4.510249999839289,22.0,0.034303815732146074,0.034303815732146074,5,5,5,5,5,5,5,5,5,5,5
GET,/users?skip=48&limit=50,1,1,4.284333999748924,4.284333999748924,4.284333999748924,4.284333999748924,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=49&limit=25,1,1,4.509792000135349,4.509792000135349,4.509792000135349,4.509792000135349,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/users?skip=49&limit=50,1,1,3.650583000307961,3.650583000307961,3.650583000307961,3.650583000307961,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=5&limit=10,2,2,4,4.067811999448168,3.8679579993186053,4.26766599957773,22.0,0.034303815732146074,0.034303815732146074,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=5&limit=25,2,2,4,4.041354499804584,3.709999999955471,4.372708999653696,22.0,0.034303815732146074,0.034303815732146074,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=50&limit=10,1,1,4.050999999890337,4.050999999890337,4.050999999890337,4.050999999890337,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=50&limit=25,1,1,3.764416999729292,3.764416999729292,3.764416999729292,3.764416999729292,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=55&limit=10,1,1,2.1731670003646286,2.1731670003646286,2.1731670003646286,2.1731670003646286,22.0,0.017151907866073037,0.017151907866073037,2,2,2,2,2,2,2,2,2,2,2
GET,/users?skip=6&limit=10,2,2,3.275416999713343,3.672020999601955,3.275416999713343,4.0686249994905666,22.0,0.034303815732146074,0.034303815732146074,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=60&limit=10,1,1,4.236916999616369,4.236916999616369,4.236916999616369,4.236916999616369,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=60&limit=50,1,1,4.111208999347582,4.111208999347582,4.111208999347582,4.111208999347582,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=64&limit=25,1,1,5.029583000577986,5.029583000577986,5.029583000577986,5.029583000577986,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/users?skip=64&limit=50,1,1,4.626165999980003,4.626165999980003,4.626165999980003,4.626165999980003,22.0,0.017151907866073037,0.017151907866073037,5,5,5,5,5,5,5,5,5,5,5
GET,/users?skip=65&limit=10,1,1,3.1810000000405125,3.1810000000405125,3.1810000000405125,3.1810000000405125,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/users?skip=68&limit=50,1,1,5.602500000350119,5.602500000350119,5.602500000350119,5.602500000350119,22.0,0.017151907866073037,0.017151907866073037,6,6,6,6,6,6,6,6,6,6,6
GET,/users?skip=7&limit=25,1,1,4.377000000204134,4.377000000204134,4.377000000204134,4.377000000204134,22.0,0.017151907866073037,0.017151907866073037,4,4,4,4,4,4,4,4,4,4,4
GET,/users?skip=71&limit=25,1,1,3.116541000053985,3.116541000053985,3.116541000053985,3.116541000053985,22.0,0.017151907866073037,0.017151907866073037,3,3,3,3,3,3,3,3,3,3,3
GET,/users?skip=72&limit=50,1,1,6.677041999864741,6.677041999864741,6.677041999864741,6.677041999864741,22.0,0.017151907866073037,0.017151907866073037,7,7,7,7,7,7,7,7,7,7,7
